ID,Is_Lead
VBENBARO,0.042935141
CCMEWNKY,0.864708876
VK3KGA9M,0.048473477
TT8RPZVC,0.020676329
SHQZEYTZ,0.023918495
MZZAQMPT,0.097681793
Y88TW36I,0.0786771
3UGOAQNU,0.053444422
VVUKMUJT,1.002308442
9R363ZXS,0.164762955
BLISM6JE,0.045703477
CH8S7JK7,0.220196511
EAHDPXEJ,0.877179686
BNUK9PRF,0.323537788
GP2PG6FJ,0.048301955
WNQCSN8A,0.035566316
32DN4YVZ,0.464799361
GXAMDANM,0.04582027
MXETLUP4,0.073702215
MPXK6TVE,0.811980762
LBSIME2K,0.161168543
D6ORJTM6,0.051431949
HGDIBAKA,0.817855436
UUZYL9DZ,0.453867266
AUGE3VWK,0.049051286
MX7GOX6Q,0.101663309
TQN6K35W,0.071607451
QQDRMQQN,0.464853927
UP6GC6F4,0.034574705
BMHBUVHB,0.524820472
KGLDW86A,0.126655098
FQEOMOP4,0.132797681
DYWM5MEU,0.193359587
DXHGXV8F,0.031699229
AVFBFQKC,0.174978174
DBIDKYMV,0.13269989
KYZHMEBY,0.192274825
SSFEBUGF,0.044152115
MGJTAG8X,0.477731315
MP6BERDO,0.153552975
GXZ8ED68,0.043398309
ICTFGWQR,0.610374534
EAYHTRKH,0.02944175
6FN97QLQ,0.100175979
3H5MZDDW,0.278087388
2DXZZWSN,0.017167935
MM4QIRE5,0.082385007
HJWVYXUA,0.190164988
RBRSJUP3,0.837146249
YFRQKGXW,0.37931861
N3SADEBV,0.051180511
G2A2YYXY,0.054840771
XMGA3WT3,0.021585295
KVZQPSGI,0.190906146
UAKARBBG,0.048412563
WYKKL85Z,0.234847006
GHNYYGRR,0.134487258
UBAJANWT,0.041667044
LSARSF7U,0.022264038
4CNSJVVR,0.231302623
JRHJSWYO,0.274742951
FHZ8SVVI,0.06911606
JUIRE47M,0.895405417
GDIVN2GL,0.054731438
WMF3DYE3,0.791231342
MAQEHEWK,0.180404818
2W8DLKFU,0.049398592
AKGRML6H,0.111718291
B7WUUGCY,0.03890665
TLJOYATM,0.391517526
UH6ZDM3W,0.884666857
7IP5SSRR,0.725015536
PV85PMEB,0.502336716
FGDOY4NI,0.121277992
7YYIXJQE,0.05765302
BHW42XPW,-0.002465957
3PKEEAT4,0.304233441
ACFPZ3LM,0.044998228
6GORGNYN,0.808144011
AEPQTMJK,0.229849887
S6FNZFKK,0.042745369
JTYNEKRQ,0.607821048
GPXDPHHC,0.061156477
O8TMKNNB,-0.000152634
XSQVHKYG,0.044011744
MJ3CZRAE,0.022304773
3NSQEYBJ,0.34367711
SXVBASGH,0.042834219
5ZIGZYSS,0.023402541
FQSHBCUT,0.329657396
MU45XUBP,0.055282575
BVULDPBI,0.066473366
82GRNPFG,0.846385267
KKBNELBF,0.04899315
HXQGBDGY,0.043787018
28HDZICG,0.482928429
GHBPKPJC,0.037201934
FDWZFSSC,0.894153682
FWTIWZF3,0.042535458
JYMHVPMY,0.029825643
AHUDO2T6,0.86948115
ACDHABS3,0.200108818
5NTYJJDV,0.083314135
2M4VPY4V,0.10802408
KAHP9XLF,0.071797466
YRLEWZFQ,0.091297625
JZWVLXHJ,0.205970955
JZZSXUKT,0.243319751
93RURE2J,0.863327914
4RNB6FDV,0.204816151
27E7HMMG,0.109894623
2QEFQQWN,0.067833737
DDTCD2XI,0.094054149
VGVEYSEG,0.794768933
WCXVE7RK,0.042444819
RTN4R3UE,0.052868429
K2PVS4RB,0.042430653
Q36J686Z,0.10114956
NWKHMEOF,0.142554061
PVJYQQGT,0.263598388
GPUMRNWC,0.041182683
LXHCDSVH,0.165367247
BNIUPSVK,0.102794739
FW3QI3WW,0.086120769
IEEUGXMY,0.903107276
FVVXDLBO,0.044802927
UC2JJB6Y,0.080708167
3WPAHP52,0.556977951
HDTCJJOE,0.525400064
UCSB9GKK,0.073759311
HANBFYTH,0.120629587
FLUU2HNV,0.034278017
64PIYWDJ,0.223760379
9AHNH8ZX,0.873256652
KLHUI2SE,0.062639023
YRHYUJFW,0.818263946
G5RWWH7F,0.193964752
SCBT9BAX,0.018270916
UGZGLVNB,0.31764539
2RRNUFBV,0.830051554
B6O59TEY,0.428373345
CYHRRYH6,0.049489697
GGYZVHWU,0.078337191
K6AM97RN,0.07602882
ATM5JQYM,0.065749902
7GYZSGWA,0.035056715
DFWUDQCR,0.152976084
E2Z98CR3,0.796812196
GD9KTSLY,0.042508723
2AMRA4OD,0.117532612
CFHZ3ZE6,0.443446219
BOMLVM5K,0.031175094
OBBEGBSY,0.491921101
FJEHOK8W,0.037535448
3GMAEVPJ,0.124361486
WAVDLUTH,0.040454297
6EN8GZX6,0.116061346
VXGA3GKB,0.130200514
U4MZ3U8C,0.521459947
GU4RDP8S,0.891151771
N3TPNHCD,0.117338999
JRRHWQC8,0.564451452
NZ5GBHZK,0.027201977
LCUC2LAJ,0.861544997
DJDSU9D2,0.91600044
